timestamp_utc,timestamp_et,session_date_et,ticker,open,high,low,close
2026-08-31T16:16:00Z,2026-08-31T12:16:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.762000,4.762000
2026-08-31T16:16:00Z,2026-08-31T12:16:00-04:00,2026-08-31,^TYX,5.260000,5.260000,5.260000,5.260000
2026-08-31T16:17:00Z,2026-08-31T12:17:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.762000,4.762000
2026-08-31T16:17:00Z,2026-08-31T12:17:00-04:00,2026-08-31,^TYX,5.260000,5.260000,5.260000,5.260000
2026-08-31T16:18:00Z,2026-08-31T12:18:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.760000,4.762000
2026-08-31T16:18:00Z,2026-08-31T12:18:00-04:00,2026-08-31,^TYX,5.260000,5.261000,5.260000,5.260000
2026-08-31T16:19:00Z,2026-08-31T12:19:00-04:00,2026-08-31,^TNX,4.762000,4.764000,4.762000,4.764000
2026-08-31T16:19:00Z,2026-08-31T12:19:00-04:00,2026-08-31,^TYX,5.261000,5.261000,5.261000,5.261000
2026-08-31T16:20:00Z,2026-08-31T12:20:00-04:00,2026-08-31,^TNX,4.764000,4.764000,4.762000,4.762000
2026-08-31T16:20:00Z,2026-08-31T12:20:00-04:00,2026-08-31,^TYX,5.261000,5.261000,5.261000,5.261000
2026-08-31T16:21:00Z,2026-08-31T12:21:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.760000,4.760000
2026-08-31T16:21:00Z,2026-08-31T12:21:00-04:00,2026-08-31,^TYX,5.261000,5.261000,5.261000,5.261000
2026-08-31T16:22:00Z,2026-08-31T12:22:00-04:00,2026-08-31,^TNX,4.762000,4.764000,4.762000,4.764000
2026-08-31T16:22:00Z,2026-08-31T12:22:00-04:00,2026-08-31,^TYX,5.262000,5.264000,5.262000,5.264000
2026-08-31T16:23:00Z,2026-08-31T12:23:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.762000,4.762000
2026-08-31T16:23:00Z,2026-08-31T12:23:00-04:00,2026-08-31,^TYX,5.263000,5.263000,5.262000,5.263000
2026-08-31T16:24:00Z,2026-08-31T12:24:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.762000,4.762000
2026-08-31T16:24:00Z,2026-08-31T12:24:00-04:00,2026-08-31,^TYX,5.262000,5.262000,5.262000,5.262000
2026-08-31T16:25:00Z,2026-08-31T12:25:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.762000,4.762000
2026-08-31T16:25:00Z,2026-08-31T12:25:00-04:00,2026-08-31,^TYX,5.262000,5.263000,5.262000,5.263000
2026-08-31T16:26:00Z,2026-08-31T12:26:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.760000,4.760000
2026-08-31T16:26:00Z,2026-08-31T12:26:00-04:00,2026-08-31,^TYX,5.263000,5.263000,5.262000,5.262000
2026-08-31T16:27:00Z,2026-08-31T12:27:00-04:00,2026-08-31,^TNX,4.760000,4.762000,4.760000,4.760000
2026-08-31T16:27:00Z,2026-08-31T12:27:00-04:00,2026-08-31,^TYX,5.261000,5.262000,5.261000,5.262000
2026-08-31T16:28:00Z,2026-08-31T12:28:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.760000,4.760000
2026-08-31T16:28:00Z,2026-08-31T12:28:00-04:00,2026-08-31,^TYX,5.261000,5.261000,5.261000,5.261000
2026-08-31T16:29:00Z,2026-08-31T12:29:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:29:00Z,2026-08-31T12:29:00-04:00,2026-08-31,^TYX,5.261000,5.262000,5.261000,5.262000
2026-08-31T16:30:00Z,2026-08-31T12:30:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:30:00Z,2026-08-31T12:30:00-04:00,2026-08-31,^TYX,5.261000,5.261000,5.261000,5.261000
2026-08-31T16:31:00Z,2026-08-31T12:31:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:31:00Z,2026-08-31T12:31:00-04:00,2026-08-31,^TYX,5.261000,5.262000,5.261000,5.262000
2026-08-31T16:32:00Z,2026-08-31T12:32:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:32:00Z,2026-08-31T12:32:00-04:00,2026-08-31,^TYX,5.262000,5.262000,5.260000,5.260000
2026-08-31T16:33:00Z,2026-08-31T12:33:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:33:00Z,2026-08-31T12:33:00-04:00,2026-08-31,^TYX,5.260000,5.260000,5.259000,5.259000
2026-08-31T16:34:00Z,2026-08-31T12:34:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:34:00Z,2026-08-31T12:34:00-04:00,2026-08-31,^TYX,5.258000,5.258000,5.258000,5.258000
2026-08-31T16:35:00Z,2026-08-31T12:35:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:35:00Z,2026-08-31T12:35:00-04:00,2026-08-31,^TYX,5.258000,5.259000,5.258000,5.258000
2026-08-31T16:36:00Z,2026-08-31T12:36:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:36:00Z,2026-08-31T12:36:00-04:00,2026-08-31,^TYX,5.258000,5.259000,5.258000,5.259000
2026-08-31T16:37:00Z,2026-08-31T12:37:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:37:00Z,2026-08-31T12:37:00-04:00,2026-08-31,^TYX,5.259000,5.261000,5.259000,5.261000
2026-08-31T16:38:00Z,2026-08-31T12:38:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:38:00Z,2026-08-31T12:38:00-04:00,2026-08-31,^TYX,5.261000,5.261000,5.260000,5.260000
2026-08-31T16:39:00Z,2026-08-31T12:39:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:39:00Z,2026-08-31T12:39:00-04:00,2026-08-31,^TYX,5.260000,5.260000,5.260000,5.260000
2026-08-31T16:40:00Z,2026-08-31T12:40:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:40:00Z,2026-08-31T12:40:00-04:00,2026-08-31,^TYX,5.260000,5.260000,5.259000,5.259000
2026-08-31T16:41:00Z,2026-08-31T12:41:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.758000,4.760000
2026-08-31T16:41:00Z,2026-08-31T12:41:00-04:00,2026-08-31,^TYX,5.259000,5.259000,5.257000,5.257000
2026-08-31T16:42:00Z,2026-08-31T12:42:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:42:00Z,2026-08-31T12:42:00-04:00,2026-08-31,^TYX,5.257000,5.258000,5.257000,5.258000
2026-08-31T16:43:00Z,2026-08-31T12:43:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:43:00Z,2026-08-31T12:43:00-04:00,2026-08-31,^TYX,5.258000,5.259000,5.258000,5.258000
2026-08-31T16:44:00Z,2026-08-31T12:44:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:44:00Z,2026-08-31T12:44:00-04:00,2026-08-31,^TYX,5.258000,5.258000,5.258000,5.258000
2026-08-31T16:45:00Z,2026-08-31T12:45:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:45:00Z,2026-08-31T12:45:00-04:00,2026-08-31,^TYX,5.258000,5.258000,5.257000,5.258000
2026-08-31T16:46:00Z,2026-08-31T12:46:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:46:00Z,2026-08-31T12:46:00-04:00,2026-08-31,^TYX,5.258000,5.258000,5.256000,5.256000
2026-08-31T16:47:00Z,2026-08-31T12:47:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:47:00Z,2026-08-31T12:47:00-04:00,2026-08-31,^TYX,5.256000,5.256000,5.256000,5.256000
2026-08-31T16:48:00Z,2026-08-31T12:48:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:48:00Z,2026-08-31T12:48:00-04:00,2026-08-31,^TYX,5.256000,5.256000,5.255000,5.255000
2026-08-31T16:49:00Z,2026-08-31T12:49:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:49:00Z,2026-08-31T12:49:00-04:00,2026-08-31,^TYX,5.255000,5.256000,5.255000,5.255000
2026-08-31T16:50:00Z,2026-08-31T12:50:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T16:50:00Z,2026-08-31T12:50:00-04:00,2026-08-31,^TYX,5.255000,5.255000,5.254000,5.254000
2026-08-31T16:51:00Z,2026-08-31T12:51:00-04:00,2026-08-31,^TNX,4.758000,4.758000,4.758000,4.758000
2026-08-31T16:51:00Z,2026-08-31T12:51:00-04:00,2026-08-31,^TYX,5.254000,5.254000,5.254000,5.254000
2026-08-31T16:52:00Z,2026-08-31T12:52:00-04:00,2026-08-31,^TNX,4.758000,4.758000,4.756000,4.756000
2026-08-31T16:52:00Z,2026-08-31T12:52:00-04:00,2026-08-31,^TYX,5.254000,5.254000,5.252000,5.252000
2026-08-31T16:53:00Z,2026-08-31T12:53:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T16:53:00Z,2026-08-31T12:53:00-04:00,2026-08-31,^TYX,5.252000,5.252000,5.251000,5.252000
2026-08-31T16:54:00Z,2026-08-31T12:54:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T16:54:00Z,2026-08-31T12:54:00-04:00,2026-08-31,^TYX,5.252000,5.253000,5.252000,5.252000
2026-08-31T16:55:00Z,2026-08-31T12:55:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T16:55:00Z,2026-08-31T12:55:00-04:00,2026-08-31,^TYX,5.252000,5.253000,5.252000,5.252000
2026-08-31T16:56:00Z,2026-08-31T12:56:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T16:56:00Z,2026-08-31T12:56:00-04:00,2026-08-31,^TYX,5.252000,5.252000,5.251000,5.252000
2026-08-31T16:57:00Z,2026-08-31T12:57:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T16:57:00Z,2026-08-31T12:57:00-04:00,2026-08-31,^TYX,5.252000,5.252000,5.252000,5.252000
2026-08-31T16:58:00Z,2026-08-31T12:58:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T16:58:00Z,2026-08-31T12:58:00-04:00,2026-08-31,^TYX,5.252000,5.252000,5.251000,5.252000
2026-08-31T16:59:00Z,2026-08-31T12:59:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T16:59:00Z,2026-08-31T12:59:00-04:00,2026-08-31,^TYX,5.252000,5.252000,5.251000,5.251000
2026-08-31T17:00:00Z,2026-08-31T13:00:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T17:00:00Z,2026-08-31T13:00:00-04:00,2026-08-31,^TYX,5.252000,5.253000,5.252000,5.253000
2026-08-31T17:01:00Z,2026-08-31T13:01:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T17:01:00Z,2026-08-31T13:01:00-04:00,2026-08-31,^TYX,5.253000,5.255000,5.253000,5.255000
2026-08-31T17:02:00Z,2026-08-31T13:02:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T17:02:00Z,2026-08-31T13:02:00-04:00,2026-08-31,^TYX,5.255000,5.255000,5.254000,5.254000
2026-08-31T17:03:00Z,2026-08-31T13:03:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T17:03:00Z,2026-08-31T13:03:00-04:00,2026-08-31,^TYX,5.254000,5.254000,5.254000,5.254000
2026-08-31T17:04:00Z,2026-08-31T13:04:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T17:04:00Z,2026-08-31T13:04:00-04:00,2026-08-31,^TYX,5.254000,5.255000,5.254000,5.255000
2026-08-31T17:05:00Z,2026-08-31T13:05:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.756000,4.756000
2026-08-31T17:05:00Z,2026-08-31T13:05:00-04:00,2026-08-31,^TYX,5.255000,5.255000,5.254000,5.255000
2026-08-31T17:06:00Z,2026-08-31T13:06:00-04:00,2026-08-31,^TNX,4.756000,4.756000,4.754000,4.754000
